member_casual,start_hour,n,avg_duration,day_of_week
casual,2020-12-01 00:00:00,10,6.886666666666667,Tue
casual,2020-12-01 01:00:00,5,17.973333333333333,Tue
casual,2020-12-01 03:00:00,4,12.991666666666667,Tue
casual,2020-12-01 04:00:00,3,14.983333333333333,Tue
casual,2020-12-01 05:00:00,6,5.361111111111111,Tue
casual,2020-12-01 06:00:00,19,10.764912280701754,Tue
casual,2020-12-01 07:00:00,24,13.438194444444445,Tue
casual,2020-12-01 08:00:00,28,12.95297619047619,Tue
casual,2020-12-01 09:00:00,29,15.854022988505747,Tue
casual,2020-12-01 10:00:00,26,133.8326923076923,Tue
casual,2020-12-01 11:00:00,36,21.28935185185185,Tue
casual,2020-12-01 12:00:00,51,19.084640522875816,Tue
casual,2020-12-01 13:00:00,50,16.139,Tue
casual,2020-12-01 14:00:00,43,18.82906976744186,Tue
casual,2020-12-01 15:00:00,72,28.920833333333334,Tue
casual,2020-12-01 16:00:00,93,16.521505376344084,Tue
casual,2020-12-01 17:00:00,78,15.13974358974359,Tue
casual,2020-12-01 18:00:00,66,20.325,Tue
casual,2020-12-01 19:00:00,41,12.873170731707317,Tue
casual,2020-12-01 20:00:00,28,21.84166666666667,Tue
casual,2020-12-01 21:00:00,23,61.087681159420285,Tue
casual,2020-12-01 22:00:00,14,11.308333333333334,Tue
casual,2020-12-01 23:00:00,9,14.353703703703703,Tue
casual,2020-12-02 00:00:00,7,10.052380952380952,Wed
casual,2020-12-02 01:00:00,1,5.6,Wed
casual,2020-12-02 02:00:00,2,7.5166666666666675,Wed
casual,2020-12-02 03:00:00,4,6.375,Wed
casual,2020-12-02 04:00:00,7,11.645238095238096,Wed
casual,2020-12-02 05:00:00,8,11.5375,Wed
casual,2020-12-02 06:00:00,19,10.446491228070176,Wed
casual,2020-12-02 07:00:00,25,16.106,Wed
casual,2020-12-02 08:00:00,39,19.148717948717948,Wed
casual,2020-12-02 09:00:00,33,14.736868686868688,Wed
casual,2020-12-02 10:00:00,37,21.37027027027027,Wed
casual,2020-12-02 11:00:00,64,21.2421875,Wed
casual,2020-12-02 12:00:00,82,26.41747967479675,Wed
casual,2020-12-02 13:00:00,75,27.756666666666668,Wed
casual,2020-12-02 14:00:00,87,25.922605363984676,Wed
casual,2020-12-02 15:00:00,97,22.72405498281787,Wed
casual,2020-12-02 16:00:00,126,21.72275132275132,Wed
casual,2020-12-02 17:00:00,113,17.41725663716814,Wed
casual,2020-12-02 18:00:00,87,18.65766283524904,Wed
casual,2020-12-02 19:00:00,53,16.602830188679246,Wed
casual,2020-12-02 20:00:00,36,14.873611111111112,Wed
casual,2020-12-02 21:00:00,34,16.086764705882352,Wed
casual,2020-12-02 22:00:00,35,19.62857142857143,Wed
casual,2020-12-02 23:00:00,11,19.96666666666667,Wed
casual,2020-12-03 00:00:00,14,11.371428571428572,Thu
casual,2020-12-03 01:00:00,10,12.461666666666666,Thu
casual,2020-12-03 02:00:00,4,11.7,Thu
casual,2020-12-03 03:00:00,5,12.696666666666667,Thu
casual,2020-12-03 04:00:00,7,9.58095238095238,Thu
casual,2020-12-03 05:00:00,10,13.03,Thu
casual,2020-12-03 06:00:00,17,10.06078431372549,Thu
casual,2020-12-03 07:00:00,34,17.879901960784313,Thu
casual,2020-12-03 08:00:00,40,16.655833333333334,Thu
casual,2020-12-03 09:00:00,41,17.00081300813008,Thu
casual,2020-12-03 10:00:00,55,25.652727272727272,Thu
casual,2020-12-03 11:00:00,75,27.57488888888889,Thu
casual,2020-12-03 12:00:00,85,19.194313725490197,Thu
casual,2020-12-03 13:00:00,81,42.23271604938272,Thu
casual,2020-12-03 14:00:00,95,22.67035087719298,Thu
casual,2020-12-03 15:00:00,103,21.938025889967637,Thu
casual,2020-12-03 16:00:00,110,20.26560606060606,Thu
casual,2020-12-03 17:00:00,125,16.362133333333333,Thu
casual,2020-12-03 18:00:00,86,18.54767441860465,Thu
casual,2020-12-03 19:00:00,59,17.2635593220339,Thu
casual,2020-12-03 20:00:00,48,15.57638888888889,Thu
casual,2020-12-03 21:00:00,24,20.18125,Thu
casual,2020-12-03 22:00:00,17,8.807843137254903,Thu
casual,2020-12-03 23:00:00,18,8.369444444444445,Thu
casual,2020-12-04 00:00:00,10,9.09,Fri
casual,2020-12-04 01:00:00,4,17,Fri
casual,2020-12-04 02:00:00,3,8.700000000000001,Fri
casual,2020-12-04 03:00:00,3,12.433333333333334,Fri
casual,2020-12-04 04:00:00,4,17.1,Fri
casual,2020-12-04 05:00:00,8,18.16875,Fri
casual,2020-12-04 06:00:00,24,12.890972222222222,Fri
casual,2020-12-04 07:00:00,36,18.538425925925925,Fri
casual,2020-12-04 08:00:00,47,15.088652482269504,Fri
casual,2020-12-04 09:00:00,42,15.284920634920635,Fri
casual,2020-12-04 10:00:00,62,20.252688172043012,Fri
